Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels
Epic,Constitucion y formalizacion legal,"Incorporacion de socios Felipe y Andres a la SpA existente. Incluye reforma de estatutos, pacto de accionistas, tramites ante notaria, Registro de Comercio, SII y banco. Estructura acordada: 55/25/20.",SUB-LEGAL,,Highest,,legal;fundacional
Epic,Presencia digital y marketing,"Rediseno y ampliacion del sitio subtechsolutions.cl. Reposicionamiento de mensaje desde RFID hacia soluciones integrales de conectividad, ubicacion y seguridad en mineria subterranea.",SUB-WEB,,High,,marketing;web
Epic,Producto y software,"Evolucion de la plataforma de visualizacion. Incluye rediseno UI, nuevas funcionalidades y arquitectura multi-tenant como habilitador de escalabilidad comercial.",SUB-SW,,High,,producto;software
Epic,Ejecucion proyectos La Patagua,Planificacion y ejecucion de los dos proyectos adjudicados: 8 puntos de red en accesos subterraneos y sistema de alerta ante incidentes con dispositivos AXIS D4100-VE Mk II en 7 niveles.,SUB-OPS,,Highest,,operaciones;cliente-patagua
Epic,Financiamiento y expansion,"Busqueda de fondos concursables (CORFO, ANID, Start-Up Chile, SERCOTEC) y expansion comercial hacia una segunda mina, priorizando las otras 3 operaciones de la compania La Patagua.",SUB-FIN,,High,,financiamiento;comercial
Story,L1 Descargar y revisar estatutos vigentes,"Descargar los estatutos vigentes desde registrodeempresasysociedades.cl y verificar el estado societario actual antes de iniciar cualquier tramite de modificacion.

Contexto: la empresa fue constituida via Empresa en un Dia con estatutos tipo, que son minimalistas y se remiten supletoriamente a la Ley 20.190 (SpA) y en lo no previsto a la Ley 18.046.

Puntos a verificar:
- Capital suscrito y capital efectivamente pagado
- Numero total de acciones emitidas y su valor
- Objeto social y si cubre las nuevas lineas de negocio (conectividad y sistemas de seguridad)
- Ausencia o presencia de clausulas de transferencia de acciones
- Quorums de decision definidos

Criterios de aceptacion:
- Estatutos vigentes descargados y archivados en repositorio compartido
- Capital suscrito y pagado documentado
- Confirmado si el objeto social requiere ampliacion
- Resumen de una pagina con hallazgos compartido con los 3 socios",,Constitucion y formalizacion legal,Highest,1,legal;bloqueante
Story,L2 Definir mecanismo de entrada de socios,"Decidir entre aumento de capital con emision de acciones nuevas versus cesion de acciones existentes del socio mayoritario.

Recomendacion preliminar: aumento de capital. Con este mecanismo los socios entrantes suscriben acciones nuevas y el dinero ingresa a la sociedad. Con cesion, el pago va al patrimonio personal del socio cedente y genera hecho tributario para el.

Requiere validacion con contador dado el impacto tributario.

Criterios de aceptacion:
- Mecanismo definido y documentado por escrito
- Validacion tributaria del contador obtenida
- Impacto en capital social calculado
- Los 3 socios informados de la decision y sus implicancias",,Constitucion y formalizacion legal,Highest,2,legal;bloqueante;tributario
Story,L3 Formalizar distribucion accionaria 55/25/20,"Dejar por escrito la distribucion acordada y su valorizacion antes de pasar a redaccion legal.

Distribucion acordada:
- Socio mayoritario: 55 por ciento
- Felipe: 25 por ciento
- Andres: 20 por ciento

Nota relevante: con 55 por ciento se controlan las decisiones ordinarias por mayoria simple, pero NO las que requieren mayoria reforzada (reforma de estatutos, aumentos de capital, transformacion, fusion, disolucion). Felipe y Andres suman 45 por ciento y pueden bloquear esas materias. Esto debe abordarse en L5.

Criterios de aceptacion:
- Documento firmado por los 3 con la distribucion
- Valorizacion de la accion definida
- Monto a pagar por cada socio entrante definido, si aplica
- Plazo de pago acordado",,Constitucion y formalizacion legal,Highest,1,legal
Story,L4 Documentar aportes comprometidos por socio,"Definir por escrito que aporta concretamente cada socio a cambio de su participacion. Esta es la tarea que despues sustenta el vesting y da mecanismo de accion si alguien no cumple.

Dimensiones a cubrir por cada socio:
- Aporte de capital, monto y plazo
- Dedicacion horaria semanal comprometida y si es exclusiva
- Rol y responsabilidades funcionales
- Aportes intangibles: cartera de contactos, know-how tecnico, relaciones comerciales
- Aportes en especie si los hubiera

Antecedente a considerar: el socio mayoritario aporta dos anos de trabajo previo, el prototipo, la investigacion de tesis, la relacion comercial con La Patagua y el capital inicial. Los aportes de los socios entrantes deben quedar explicitos para que la distribucion tenga fundamento.

Criterios de aceptacion:
- Documento con aporte detallado de cada uno de los 3 socios
- Dedicacion horaria minima cuantificada
- Roles y responsabilidades definidos sin superposicion
- Documento revisado y firmado por los 3",,Constitucion y formalizacion legal,Highest,2,legal;critico
Story,L5 Definir contenido de pacto y reforma de estatutos,"Definir que materias se incorporan a los estatutos y cuales quedan en pacto de accionistas separado, antes de encargar la redaccion al abogado.

Distincion clave: lo que va en estatutos es publico y oponible a terceros. Lo que va en pacto separado es privado y solo obliga entre las partes.

Sugerido para ESTATUTOS:
- Restriccion a la transferencia de acciones con derecho preferente de compra
- Quorums reforzados para materias especificas
- Ampliacion del objeto social a conectividad y sistemas de seguridad

Sugerido para PACTO DE ACCIONISTAS:
- Vesting: 3 a 4 anos con cliff de 12 meses para socios entrantes
- Dedicacion minima exigible
- No competencia y confidencialidad
- Formula de valorizacion para salida de socio
- Drag along y tag along
- Resolucion de conflictos por arbitraje

Nota sobre urgencia: los estatutos tipo de Empresa en un Dia no contienen restriccion a la transferencia. Sin ella, cualquier socio puede vender su participacion a un tercero sin ofrecerla primero. Conviene reformar los estatutos en la MISMA escritura de incorporacion de socios, porque hacerlo despues requiere el consentimiento de quienes ya tendran 45 por ciento.

Criterios de aceptacion:
- Lista definida de materias que van a estatutos
- Lista definida de materias que van a pacto
- Parametros de vesting acordados por los 3
- Quorums reforzados especificados por materia
- Documento de instrucciones listo para entregar al abogado",,Constitucion y formalizacion legal,Highest,3,legal;critico;bloqueante
